DATE,CO,NO,NO2,O3,T,RH,P,G,PM1.0,PM2.5,PM10,WD,WS
2019-11-22 00:00:00,617.8,12.1,1.3,20.0,24.5,48.1,1014.2,883.8,2.0,2.7,3.2,214.7,0.0
2019-11-22 00:10:00,621.0,11.1,1.9,17.7,24.5,48.0,1014.2,884.5,1.9,2.8,3.3,214.7,0.0
2019-11-22 00:20:00,628.1,11.5,1.4,18.5,24.5,48.0,1014.2,888.0,1.7,2.3,2.7,214.7,0.0
2019-11-22 00:30:00,616.7,10.3,0.7,20.3,24.5,48.0,1014.2,883.8,1.9,2.5,2.8,214.7,0.0
2019-11-22 00:40:00,618.0,11.6,1.5,18.0,24.5,47.9,1014.1,893.2,1.9,2.6,3.1,214.7,0.0
2019-11-22 00:50:00,608.9,11.0,1.8,18.9,24.5,47.9,1014.1,894.9,1.7,2.4,2.5,214.7,0.0
2019-11-22 01:00:00,611.9,11.7,3.0,16.4,24.4,47.9,1014.0,889.8,1.8,2.5,2.8,214.7,0.0
2019-11-22 01:10:00,617.8,13.8,1.4,19.6,24.4,47.9,1014.0,889.8,1.9,2.4,2.4,214.7,0.0
2019-11-22 01:20:00,606.0,14.2,1.3,18.4,24.4,47.8,1014.1,902.0,1.6,2.2,2.5,214.6,0.0
2019-11-22 01:30:00,611.5,10.6,-0.7,22.1,24.4,47.7,1014.2,905.4,1.6,1.9,2.3,214.6,0.0
2019-11-22 01:40:00,605.7,10.1,1.8,18.8,24.4,47.7,1014.1,908.3,2.0,2.5,2.8,214.6,0.0
2019-11-22 01:50:00,603.7,12.4,0.9,20.3,24.3,47.7,1014.2,898.2,1.8,2.2,2.4,214.6,0.0
2019-11-22 02:00:00,613.2,11.7,0.3,19.2,24.3,47.6,1014.2,908.7,1.8,2.4,2.7,214.3,0.0
2019-11-22 02:10:00,598.6,11.2,2.1,18.2,24.3,47.6,1014.2,913.2,1.6,2.1,2.5,214.3,0.0
2019-11-22 02:20:00,601.8,11.2,-0.8,21.0,24.3,47.6,1014.2,912.0,1.6,2.1,2.3,214.3,0.0
2019-11-22 02:30:00,601.4,12.4,-0.4,22.1,24.3,47.5,1014.2,914.3,1.6,2.0,2.2,214.3,0.0
2019-11-22 02:40:00,605.1,10.7,-0.3,21.2,24.2,47.8,1014.2,901.4,1.5,2.2,2.4,214.3,0.0
2019-11-22 02:50:00,592.1,10.5,1.1,16.1,24.3,47.4,1014.3,919.9,1.4,1.9,2.2,214.3,0.0
2019-11-22 03:00:00,591.8,11.2,0.3,20.6,24.2,47.3,1014.4,921.2,1.4,1.9,2.3,214.3,0.0
2019-11-22 03:10:00,581.9,11.6,0.7,18.3,24.2,47.2,1014.4,923.1,1.4,1.9,2.0,214.3,0.0
2019-11-22 03:20:00,586.3,11.0,-0.3,20.7,24.2,47.3,1014.4,919.0,1.4,2.3,2.4,214.3,0.0
2019-11-22 03:30:00,587.3,12.4,0.6,19.1,24.2,47.2,1014.4,927.4,1.2,1.9,2.0,214.3,0.0
2019-11-22 03:40:00,583.5,11.6,0.9,18.5,24.2,47.1,1014.5,931.9,1.4,1.8,1.8,214.3,0.0
2019-11-22 03:50:00,580.9,9.8,-1.3,20.2,24.2,47.2,1014.4,930.1,1.2,1.8,1.8,214.3,0.0
2019-11-22 04:00:00,580.8,9.9,-1.7,24.9,24.1,47.2,1014.4,928.6,1.4,1.9,2.0,214.3,0.0
2019-11-22 04:10:00,582.9,11.6,2.2,17.5,24.1,47.2,1014.4,937.0,1.4,1.9,2.0,214.2,0.0
2019-11-22 04:20:00,580.3,8.9,0.1,20.0,24.1,47.2,1014.5,940.0,1.3,1.8,1.8,214.2,0.0
